Port_IDs,PnL,Sharpe Ratio,Max Drawdown (MDD),Win Rate (%),Total Positions,Win Positions,Score,Rank
4020204877254599680,71998.85595307,-0.08841097942056504,-8.028348113683958,32.94214876033058,6050,1993.0,29005.404287686244,1.0
3999240873283311617,42574.47367879,0.5915285245145278,-0.05281634002779034,52.32198142414861,4522,2366.0,17277.031326358185,2.0
4021669203289716224,26427.33159178,0.04073860606428599,-0.1615684406577308,31.391200951248514,1682,528.0,10630.02309848407,3.0
3960874214179953664,19567.47128569,0.11670847968653893,-34.536210321481484,51.568381430363864,2391,1233.0,7960.63720310598,4.0
3907081197088384000,18015.99737026,0.7845270056500273,-0.24290796239180867,61.39714769156394,4137,2540.0,7472.913735744009,5.0
4028701921959171840,17601.40139824,0.6746602132235785,-0.04517672012232743,54.29403202328966,687,373.0,7088.921763764625,6.0
3956076827719377409,16790.01223802,0.6803711943408893,-0.24614293318857094,51.55771195097037,3916,2019.0,6928.4205489564965,7.0
3986814617275053313,16337.46188064,1.288551982538873,-0.00014890821565727297,78.22172200337648,3554,2780.0,6829.015662251438,8.0
3788465932399412480,13960.96645667,0.21742741203949306,-0.2242625568921689,44.607363962202676,3069,1369.0,5730.273283684052,9.0
4022565861939831809,14197.57707589,0.597009344097137,-0.10895996791550233,52.76595744680851,705,372.0,5726.9631246485915,10.0
3987739404272887297,12464.6063154,0.15177474743889627,-0.3105022736974292,22.826446280991735,6050,1381.0,5128.553347840431,11.0
4008711265867865600,11298.706389769999,0.6569639523815746,-0.05269760629005893,42.13197969543147,394,166.0,4544.706041032801,12.0
3931992636670880512,10374.96528998,0.4618396532335457,-0.424280098072751,40.16528925619834,6050,2430.0,4401.157725739209,13.0
3936410995029308417,10681.514,0.5807291963654151,0.0,30.0,20,6.0,4279.37981875891,14.0
3939318616482048768,9775.38910984,0.5626534293571586,-0.0190289258822135,37.46031746031746,315,118.0,3929.616503456871,15.0
3998572645139652353,9603.58535988,0.44638621175144344,-0.08120905576797821,35.714285714285715,266,95.0,3858.210916958383,16.0
3962024093501274881,9314.494060179999,0.06326758053683194,-inf,26.472898664571876,1273,337.0,3764.8111840790752,17.0
4031493134338259457,9082.69828786,0.07523800432714364,-0.9598974471669378,36.156696664902064,1889,683.0,3708.6332258782786,18.0
3944088772635000577,7581.4919834,0.4420039254051951,-0.013092953369497673,45.75292759360053,6063,2774.0,3319.279980056342,19.0
4017263283405469185,7141.3664193899995,-0.017033843858045492,-12.557645607719632,33.6198347107438,6050,2034.0,3066.6654245449913,20.0
